# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000166355.1	Primary Assembly	chromosome		NC_014652.1	111	1475	+					dnaA		CALHY_RS00010	1365		old_locus_tag=Calhy_0001
CDS	with_protein	GCF_000166355.1	Primary Assembly	chromosome		NC_014652.1	111	1475	+	WP_013401981.1	WP_013401981.1		chromosomal replication initiator protein DnaA	dnaA		CALHY_RS00010	1365	454	
gene	protein_coding	GCF_000166355.1	Primary Assembly	chromosome		NC_014652.1	1693	2799	+					dnaN		CALHY_RS00015	1107		old_locus_tag=Calhy_0002
CDS	with_protein	GCF_000166355.1	Primary Assembly	chromosome		NC_014652.1	1693	2799	+	WP_013401982.1	WP_013401982.1		DNA polymerase III subunit beta	dnaN		CALHY_RS00015	1107	368	
gene	protein_coding	GCF_000166355.1	Primary Assembly	chromosome		NC_014652.1	2825	3886	+					recF		CALHY_RS00020	1062		old_locus_tag=Calhy_0003
CDS	with_protein	GCF_000166355.1	Primary Assembly	chromosome		NC_014652.1	2825	3886	+	WP_013401983.1	WP_013401983.1		DNA replication and repair protein RecF	recF		CALHY_RS00020	1062	353	
gene	protein_coding	GCF_000166355.1	Primary Assembly	chromosome		NC_014652.1	3913	4197	+							CALHY_RS00025	285		old_locus_tag=Calhy_0004
CDS	with_protein	GCF_000166355.1	Primary Assembly	chromosome		NC_014652.1	3913	4197	+	WP_013401984.1	WP_013401984.1		DUF370 domain-containing protein			CALHY_RS00025	285	94	
gene	protein_coding	GCF_000166355.1	Primary Assembly	chromosome		NC_014652.1	4234	6147	+					gyrB		CALHY_RS00030	1914		old_locus_tag=Calhy_0005
CDS	with_protein	GCF_000166355.1	Primary Assembly	chromosome		NC_014652.1	4234	6147	+	WP_013401985.1	WP_013401985.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		CALHY_RS00030	1914	637	
gene	protein_coding	GCF_000166355.1	Primary Assembly	chromosome		NC_014652.1	6165	6341	+							CALHY_RS13685	177		old_locus_tag=Calhy_0006
