# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	1	1365	+					dnaA		ELD05_RS00005	1365		old_locus_tag=ELD05_00005
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	1	1365	+	WP_127350825.1	WP_127350825.1		chromosomal replication initiator protein DnaA	dnaA		ELD05_RS00005	1365	454	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	1587	2690	+					dnaN		ELD05_RS00010	1104		old_locus_tag=ELD05_00010
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	1587	2690	+	WP_127350826.1	WP_127350826.1		DNA polymerase III subunit beta	dnaN		ELD05_RS00010	1104	367	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	2718	3764	+							ELD05_RS00015	1047		old_locus_tag=ELD05_00015
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	2718	3764	+	WP_127350827.1	WP_127350827.1		DNA replication/repair protein RecF			ELD05_RS00015	1047	348	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	3800	4084	+							ELD05_RS00020	285		old_locus_tag=ELD05_00020
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	3800	4084	+	WP_127350828.1	WP_127350828.1		DUF370 domain-containing protein			ELD05_RS00020	285	94	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	4129	6048	+					gyrB		ELD05_RS00025	1920		old_locus_tag=ELD05_00025
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	4129	6048	+	WP_127350829.1	WP_127350829.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		ELD05_RS00025	1920	639	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	6071	6544	+							ELD05_RS00030	474		old_locus_tag=ELD05_00030
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	6071	6544	+	WP_127350830.1	WP_127350830.1		flavodoxin family protein			ELD05_RS00030	474	157	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	6577	9006	+					gyrA		ELD05_RS00035	2430		old_locus_tag=ELD05_00035
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	6577	9006	+	WP_127350831.1	WP_127350831.1		DNA gyrase subunit A	gyrA		ELD05_RS00035	2430	809	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	9152	9880	+							ELD05_RS00040	729		old_locus_tag=ELD05_00040
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	9152	9880	+	WP_127350832.1	WP_127350832.1		rhomboid family intramembrane serine protease			ELD05_RS00040	729	242	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	9908	10720	+							ELD05_RS00045	813		old_locus_tag=ELD05_00045
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	9908	10720	+	WP_127350833.1	WP_127350833.1		ATP-dependent Clp protease proteolytic subunit			ELD05_RS00045	813	270	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	10743	10919	+							ELD05_RS13900	177		
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	10743	10919	+	WP_164742547.1	WP_164742547.1		hypothetical protein			ELD05_RS13900	177	58	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	12356	12925	+							ELD05_RS00050	570		old_locus_tag=ELD05_00050
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	12356	12925	+	WP_127350834.1	WP_127350834.1		LemA family protein			ELD05_RS00050	570	189	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	12998	13765	+							ELD05_RS00055	768		old_locus_tag=ELD05_00055
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	12998	13765	+	WP_241243531.1	WP_241243531.1		TPM domain-containing protein			ELD05_RS00055	768	255	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	14026	14220	+							ELD05_RS00060	195		old_locus_tag=ELD05_00060
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	14026	14220	+	WP_127350836.1	WP_127350836.1		DUF2892 domain-containing protein			ELD05_RS00060	195	64	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	14384	15700	+							ELD05_RS00065	1317		old_locus_tag=ELD05_00065
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	14384	15700	+	WP_127350837.1	WP_127350837.1		WYL domain-containing protein			ELD05_RS00065	1317	438	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	15684	16685	+							ELD05_RS00070	1002		old_locus_tag=ELD05_00070
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	15684	16685	+	WP_127350838.1	WP_127350838.1		WYL domain-containing protein			ELD05_RS00070	1002	333	
