# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000166335.1	Primary Assembly	chromosome		NC_014657.1	117	1481	+					dnaA		CALOW_RS00005	1365		old_locus_tag=Calow_0001
CDS	with_protein	GCF_000166335.1	Primary Assembly	chromosome		NC_014657.1	117	1481	+	WP_013411036.1	WP_013411036.1		chromosomal replication initiator protein DnaA	dnaA		CALOW_RS00005	1365	454	
gene	protein_coding	GCF_000166335.1	Primary Assembly	chromosome		NC_014657.1	1701	2807	+					dnaN		CALOW_RS00010	1107		old_locus_tag=Calow_0002
CDS	with_protein	GCF_000166335.1	Primary Assembly	chromosome		NC_014657.1	1701	2807	+	WP_013411037.1	WP_013411037.1		DNA polymerase III subunit beta	dnaN		CALOW_RS00010	1107	368	
gene	protein_coding	GCF_000166335.1	Primary Assembly	chromosome		NC_014657.1	2836	3897	+					recF		CALOW_RS00015	1062		old_locus_tag=Calow_0003
CDS	with_protein	GCF_000166335.1	Primary Assembly	chromosome		NC_014657.1	2836	3897	+	WP_013411038.1	WP_013411038.1		DNA replication and repair protein RecF	recF		CALOW_RS00015	1062	353	
gene	protein_coding	GCF_000166335.1	Primary Assembly	chromosome		NC_014657.1	3927	4211	+							CALOW_RS00020	285		old_locus_tag=Calow_0004
CDS	with_protein	GCF_000166335.1	Primary Assembly	chromosome		NC_014657.1	3927	4211	+	WP_013411039.1	WP_013411039.1		DUF370 domain-containing protein			CALOW_RS00020	285	94	
gene	protein_coding	GCF_000166335.1	Primary Assembly	chromosome		NC_014657.1	4241	6160	+					gyrB		CALOW_RS00025	1920		old_locus_tag=Calow_0005
CDS	with_protein	GCF_000166335.1	Primary Assembly	chromosome		NC_014657.1	4241	6160	+	WP_041737373.1	WP_041737373.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		CALOW_RS00025	1920	639	
gene	protein_coding	GCF_000166335.1	Primary Assembly	chromosome		NC_014657.1	6182	6652	+							CALOW_RS00030	471		old_locus_tag=Calow_0006
CDS	with_protein	GCF_000166335.1	Primary Assembly	chromosome		NC_014657.1	6182	6652	+	WP_013411041.1	WP_013411041.1		hypothetical protein			CALOW_RS00030	471	156	
