# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	117	1481	+					dnaA		COB47_RS00005	1365		old_locus_tag=COB47_0001
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	117	1481	+	WP_013289389.1	WP_013289389.1		chromosomal replication initiator protein DnaA	dnaA		COB47_RS00005	1365	454	
gene	pseudogene	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	1751	2362	+							COB47_RS00010	612		pseudo;old_locus_tag=COB47_0002
CDS	without_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	1751	2362	+				IS607 family transposase			COB47_RS00010	612		pseudo
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	2331	3869	+							COB47_RS00015	1539		old_locus_tag=COB47_0003
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	2331	3869	+	WP_013289390.1	WP_013289390.1		IS200/IS605 family accessory protein TnpB-related protein			COB47_RS00015	1539	512	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	3941	5047	+					dnaN		COB47_RS00020	1107		old_locus_tag=COB47_0004
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	3941	5047	+	WP_013289391.1	WP_013289391.1		DNA polymerase III subunit beta	dnaN		COB47_RS00020	1107	368	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	5071	6132	+					recF		COB47_RS00025	1062		old_locus_tag=COB47_0005
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	5071	6132	+	WP_013289392.1	WP_013289392.1		DNA replication and repair protein RecF	recF		COB47_RS00025	1062	353	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	6162	6446	+							COB47_RS00030	285		old_locus_tag=COB47_0006
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	6162	6446	+	WP_013289393.1	WP_013289393.1		DUF370 domain-containing protein			COB47_RS00030	285	94	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	6489	8396	+					gyrB		COB47_RS00035	1908		old_locus_tag=COB47_0007
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	6489	8396	+	WP_041742603.1	WP_041742603.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		COB47_RS00035	1908	635	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	8413	8523	+							COB47_RS12250	111		old_locus_tag=COB47_0008
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	8413	8523	+	WP_013289395.1	WP_013289395.1		DUF2281 domain-containing protein			COB47_RS12250	111	36	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	8585	8965	+							COB47_RS00040	381		old_locus_tag=COB47_0009
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	8585	8965	+	WP_013289396.1	WP_013289396.1		type II toxin-antitoxin system death-on-curing family toxin			COB47_RS00040	381	126	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	8994	11423	+					gyrA		COB47_RS00045	2430		old_locus_tag=COB47_0010
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	8994	11423	+	WP_013289397.1	WP_013289397.1		DNA gyrase subunit A	gyrA		COB47_RS00045	2430	809	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	11555	12559	+							COB47_RS00050	1005		old_locus_tag=COB47_0011
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	11555	12559	+	WP_013289398.1	WP_013289398.1		protease complex subunit PrcB family protein			COB47_RS00050	1005	334	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	12679	13224	+							COB47_RS00055	546		old_locus_tag=COB47_0012
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	12679	13224	+	WP_013289399.1	WP_013289399.1		hypothetical protein			COB47_RS00055	546	181	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	13308	14333	-							COB47_RS00060	1026		old_locus_tag=COB47_0013
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	13308	14333	-	WP_013289400.1	WP_013289400.1		hypothetical protein			COB47_RS00060	1026	341	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	14551	15213	+							COB47_RS00065	663		old_locus_tag=COB47_0014
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	14551	15213	+	WP_013289401.1	WP_013289401.1		peroxiredoxin			COB47_RS00065	663	220	
gene	pseudogene	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	15534	15716	+							COB47_RS00070	183		partial;pseudo;old_locus_tag=COB47_0015
CDS	without_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	15534	15716	+				helix-turn-helix domain-containing protein			COB47_RS00070	183		partial;pseudo
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	15972	16562	+							COB47_RS00075	591		old_locus_tag=COB47_0017
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	15972	16562	+	WP_013289404.1	WP_013289404.1		Uma2 family endonuclease			COB47_RS00075	591	196	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	16660	16866	+							COB47_RS12255	207		old_locus_tag=COB47_0018
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	16660	16866	+	WP_013289405.1	WP_013289405.1		hypothetical protein			COB47_RS12255	207	68	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	17096	18619	-							COB47_RS00085	1524		old_locus_tag=COB47_0019
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	17096	18619	-	WP_013289406.1	WP_013289406.1		WG repeat-containing protein			COB47_RS00085	1524	507	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	18863	19432	+							COB47_RS00090	570		old_locus_tag=COB47_0020
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	18863	19432	+	WP_013289407.1	WP_013289407.1		LemA family protein			COB47_RS00090	570	189	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	19449	20327	+							COB47_RS00095	879		old_locus_tag=COB47_0021
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	19449	20327	+	WP_013289408.1	WP_013289408.1		TPM domain-containing protein			COB47_RS00095	879	292	
gene	pseudogene	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	21008	22233	+							COB47_RS00100	1226		pseudo;old_locus_tag=COB47_0022
CDS	without_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	21008	22233	+				SNF2 helicase associated domain-containing protein			COB47_RS00100	1226		pseudo
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	22271	22750	+							COB47_RS00105	480		old_locus_tag=COB47_0023
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	22271	22750	+	WP_237698920.1	WP_237698920.1		Uma2 family endonuclease			COB47_RS00105	480	159	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	23096	23401	+							COB47_RS12385	306		
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	23096	23401	+	WP_237698922.1	WP_237698922.1		hypothetical protein			COB47_RS12385	306	101	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	23408	24721	+							COB47_RS00110	1314		old_locus_tag=COB47_0024
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	23408	24721	+	WP_237698923.1	WP_237698923.1		transposase			COB47_RS00110	1314	437	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	25307	25714	+							COB47_RS00115	408		old_locus_tag=COB47_0025
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	25307	25714	+	WP_013289410.1	WP_013289410.1		hypothetical protein			COB47_RS00115	408	135	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	25780	26619	+							COB47_RS00120	840		old_locus_tag=COB47_0026
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	25780	26619	+	WP_013289411.1	WP_013289411.1		hypothetical protein			COB47_RS00120	840	279	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	26616	27368	+							COB47_RS00125	753		old_locus_tag=COB47_0027
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	26616	27368	+	WP_013289412.1	WP_013289412.1		hypothetical protein			COB47_RS00125	753	250	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	28172	28819	+							COB47_RS00135	648		old_locus_tag=COB47_0029
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	28172	28819	+	WP_013289414.1	WP_013289414.1		ABC transporter ATP-binding protein			COB47_RS00135	648	215	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	28821	29516	+							COB47_RS00140	696		old_locus_tag=COB47_0030
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	28821	29516	+	WP_013289415.1	WP_013289415.1		hypothetical protein			COB47_RS00140	696	231	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	29702	30646	-							COB47_RS00145	945		old_locus_tag=COB47_0031
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	29702	30646	-	WP_013289416.1	WP_013289416.1		ISNCY family transposase			COB47_RS00145	945	314	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	30873	31517	-					thiT		COB47_RS00150	645		old_locus_tag=COB47_0032
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	30873	31517	-	WP_013289417.1	WP_013289417.1		energy-coupled thiamine transporter ThiT	thiT		COB47_RS00150	645	214	
